AUN,LEA Name,LEA Type,County,School Number,School Name,Student Gender Code,PKA,PKP,PKF,K4A,K4P,K4F,K5A,K5P,K5F,001,002,003,004,005,006,EUG,007,008,009,010,011,012,SUG,Total
168518013,ARISE Academy Charter High School,CS,Philadelphia,8122,ARISE Academy Charter High School,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,118
168518013,ARISE Academy Charter High School,CS,Philadelphia,8122,ARISE Academy Charter High School,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,96
126510015,Ad Prima CS,CS,Philadelphia,7825,Ad Prima CS,F,0,0,0,0,0,0,0,0,54,40,31,21,18,16,7,0,9,12,0,0,0,0,0,208
126510015,Ad Prima CS,CS,Philadelphia,7825,Ad Prima CS,M,0,0,0,0,0,0,0,0,33,23,9,10,24,6,7,0,2,7,0,0,0,0,0,121
126512990,Alliance for Progress CS,CS,Philadelphia,7543,Alliance for Progress CS,F,0,0,0,0,0,0,0,0,28,23,27,21,27,26,6,0,0,0,0,0,0,0,0,158
126512990,Alliance for Progress CS,CS,Philadelphia,7543,Alliance for Progress CS,M,0,0,0,0,0,0,0,0,22,28,28,25,21,26,20,0,0,0,0,0,0,0,0,170
104510394,Antonia Pantoja Community Charter School,CS,Philadelphia,8031,Antonia Pantoja Community Charter School,F,0,0,0,0,0,0,0,0,41,46,78,37,37,27,33,0,27,34,0,0,0,0,0,360
104510394,Antonia Pantoja Community Charter School,CS,Philadelphia,8031,Antonia Pantoja Community Charter School,M,0,0,0,0,0,0,0,0,51,52,59,36,51,32,26,0,32,36,0,0,0,0,0,375
126513070,Belmont Academy Charter School,CS,Philadelphia,7557,Belmont Academy Charter School,F,0,0,7,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
126513070,Belmont Academy Charter School,CS,Philadelphia,7557,Belmont Academy Charter School,M,0,0,12,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
126510010,Belmont Charter School,CS,Philadelphia,7750,Belmont Charter School,F,0,0,0,0,0,0,0,0,0,45,31,40,28,20,26,0,29,19,0,0,0,0,0,238
126510010,Belmont Charter School,CS,Philadelphia,7750,Belmont Charter School,M,0,0,0,0,0,0,0,0,0,34,37,29,38,17,23,0,16,13,0,0,0,0,0,207
185515523,Boys Latin of Philadelphia CS,CS,Philadelphia,7981,Boys Latin of Philadelphia CS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,120,87,86,0,463
126513190,Charter High School for Architecture and,CS,Philadelphia,7578,Charter High School for Architecture and,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,71,82,73,0,308
126513190,Charter High School for Architecture and,CS,Philadelphia,7578,Charter High School for Architecture and,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,80,71,71,0,298
126513160,Christopher Columbus CS,CS,Philadelphia,7575,Christopher Columbus CS,F,0,0,0,0,0,0,0,0,40,43,42,47,50,44,49,0,39,37,0,0,0,0,0,391
126513160,Christopher Columbus CS,CS,Philadelphia,7575,Christopher Columbus CS,M,0,0,0,0,0,0,0,0,47,41,45,38,39,39,40,0,43,46,0,0,0,0,0,378
126512840,Community Academy of Philadelphia CS,CS,Philadelphia,7510,Community Academy of Philadelphia CS,F,0,0,0,0,0,0,0,0,63,1,26,35,37,28,32,0,50,49,68,91,88,81,0,649
126512840,Community Academy of Philadelphia CS,CS,Philadelphia,7510,Community Academy of Philadelphia CS,M,0,0,0,0,0,0,0,0,55,1,35,29,27,37,32,0,48,47,75,67,61,50,0,564
126513470,Delaware Valley CHS,CS,Philadelphia,7671,Delaware Valley CHS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,87,110,97,0,351
126513470,Delaware Valley CHS,CS,Philadelphia,7671,Delaware Valley CHS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,65,77,74,0,282
126510011,Discovery Charter School,CS,Philadelphia,7775,Discovery Charter School,F,0,0,0,0,0,0,0,0,27,32,41,37,40,39,32,0,35,31,0,0,0,0,0,314
126510011,Discovery Charter School,CS,Philadelphia,7775,Discovery Charter School,M,0,0,0,0,0,0,0,0,32,40,35,36,40,24,28,0,36,27,0,0,0,0,0,298
177518712,Eastern University Academy Charter Schoo,CS,Philadelphia,8127,Eastern University Academy Charter Schoo,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,27,38,28,0,0,0,131
177518712,Eastern University Academy Charter Schoo,CS,Philadelphia,8127,Eastern University Academy Charter Schoo,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,27,22,29,0,0,0,106
126513440,Esperanza Academy Charter High School,CS,Philadelphia,7665,Esperanza Academy Charter High School,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,107,98,108,0,420
126513440,Esperanza Academy Charter High School,CS,Philadelphia,7665,Esperanza Academy Charter High School,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,68,60,78,0,307
126513100,Eugenio Maria De Hostos CS,CS,Philadelphia,7564,Eugenio Maria DE Hostos CS,F,0,0,0,0,0,0,0,0,42,25,21,16,28,23,13,0,22,0,0,0,0,0,0,190
126513100,Eugenio Maria De Hostos CS,CS,Philadelphia,7564,Eugenio Maria DE Hostos CS,M,0,0,0,0,0,0,0,0,41,15,19,23,14,21,11,0,16,0,0,0,0,0,0,160
100510000,First Phila CS For Literacy,CS,Philadelphia,7744,First Phila CS For Literacy,F,0,0,0,0,0,0,0,0,42,36,37,44,53,52,56,0,47,52,0,0,0,0,0,419
100510000,First Phila CS For Literacy,CS,Philadelphia,7744,First Phila CS For Literacy,M,0,0,0,0,0,0,0,0,39,39,40,28,22,42,36,0,37,33,0,0,0,0,0,316
126510021,Folk Arts-Cultural Treasures CS,CS,Philadelphia,7857,Folk Arts-Cultural Treasures CS,F,0,0,0,0,0,0,0,0,26,33,27,25,34,20,21,0,25,23,0,0,0,0,0,234
126510021,Folk Arts-Cultural Treasures CS,CS,Philadelphia,7857,Folk Arts-Cultural Treasures CS,M,0,0,0,0,0,0,0,0,24,18,23,25,17,30,29,0,26,27,0,0,0,0,0,219
126513450,Franklin Towne CHS,CS,Philadelphia,7666,Franklin Towne CHS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,144,146,130,0,547
126513450,Franklin Towne CHS,CS,Philadelphia,7666,Franklin Towne CHS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,102,87,121,0,419
147513703,Franklin Towne Charter Elementary School,CS,Philadelphia,8123,Franklin Towne Charter Elementary School,F,0,0,0,0,0,0,0,0,0,0,0,44,54,41,39,0,0,0,0,0,0,0,0,178
147513703,Franklin Towne Charter Elementary School,CS,Philadelphia,8123,Franklin Towne Charter Elementary School,M,0,0,0,0,0,0,0,0,0,0,0,37,46,40,42,0,0,0,0,0,0,0,0,165
126513270,Freire CS,CS,Philadelphia,7586,Freire CS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,98,49,42,0,319
126513270,Freire CS,CS,Philadelphia,7586,Freire CS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,59,33,14,0,185
126513380,Global Leadership Academy CS,CS,Philadelphia,7639,Global Leadership Academy CS,F,0,0,0,0,0,0,0,0,23,54,36,41,43,41,39,0,26,33,0,0,0,0,0,336
126513380,Global Leadership Academy CS,CS,Philadelphia,7639,Global Leadership Academy CS,M,0,0,0,0,0,0,0,0,27,26,36,36,38,30,16,0,24,23,0,0,0,0,0,256
126510005,Green Woods CS,CS,Philadelphia,7748,Green Woods CS,F,0,0,0,0,0,0,0,0,9,13,13,9,13,11,13,0,8,11,0,0,0,0,0,100
126510005,Green Woods CS,CS,Philadelphia,7748,Green Woods CS,M,0,0,0,0,0,0,0,0,15,13,12,16,12,14,12,0,15,7,0,0,0,0,0,116
126513290,Hardy Williams Academy CS,CS,Philadelphia,7588,Hardy Williams Academy CS,F,0,0,0,0,0,0,0,0,45,48,78,52,58,39,43,0,44,23,0,0,0,0,0,430
126513290,Hardy Williams Academy CS,CS,Philadelphia,7588,Hardy Williams Academy CS,M,0,0,0,0,0,0,0,0,58,53,71,46,49,33,34,0,33,21,0,0,0,0,0,398
126510003,Hope CS,CS,Philadelphia,7723,Hope CS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,51,57,55,0,202
126510003,Hope CS,CS,Philadelphia,7723,Hope CS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,55,54,42,0,199
126513200,Imani Education Circle CS,CS,Philadelphia,7579,Imani Educationl Circle CS,F,0,0,0,0,0,0,0,0,20,23,37,23,35,30,24,0,34,13,0,0,0,0,0,239
126513200,Imani Education Circle CS,CS,Philadelphia,7579,Imani Educationl Circle CS,M,0,0,0,0,0,0,0,0,27,23,16,20,35,33,21,0,24,13,0,0,0,0,0,212
126512980,Imhotep Institute CHS,CS,Philadelphia,7542,Imhotep Institute CHS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,63,70,49,0,253
126512980,Imhotep Institute CHS,CS,Philadelphia,7542,Imhotep Institute CHS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,73,54,53,0,285
126513510,Independence CS,CS,Philadelphia,7683,Independence CS,F,0,0,0,0,0,0,0,0,40,49,46,45,45,43,53,0,38,41,0,0,0,0,0,400
126513510,Independence CS,CS,Philadelphia,7683,Independence CS,M,0,0,0,0,0,0,0,0,48,46,51,46,52,44,34,0,27,27,0,0,0,0,0,375
133513315,John B Stetson Charter School,CS,Philadelphia,8149,John B. Stetson Charter School,F,0,0,0,0,0,0,0,0,0,0,0,0,0,69,67,0,78,85,0,0,0,0,0,299
133513315,John B Stetson Charter School,CS,Philadelphia,8149,John B. Stetson Charter School,M,0,0,0,0,0,0,0,0,0,0,0,0,0,79,83,0,88,96,0,0,0,0,0,346
126510013,KIPP Philadelphia Charter School,CS,Philadelphia,7776,KIPP Philadelphia Charter School,F,0,0,0,0,0,0,0,0,37,0,0,0,0,46,45,0,35,36,60,0,0,0,0,259
126510013,KIPP Philadelphia Charter School,CS,Philadelphia,7776,KIPP Philadelphia Charter School,M,0,0,0,0,0,0,0,0,38,0,0,0,0,49,45,1,43,40,46,0,0,0,0,262
172510793,KIPP West Philadelphia Preparatory Chart,CS,Philadelphia,8124,KIPP West Philadelphia Preparatory Chart,F,0,0,0,0,0,0,0,0,0,0,0,0,0,41,40,0,0,0,0,0,0,0,0,81
172510793,KIPP West Philadelphia Preparatory Chart,CS,Philadelphia,8124,KIPP West Philadelphia Preparatory Chart,M,0,0,0,0,0,0,0,0,0,0,0,0,0,52,51,0,0,0,0,0,0,0,0,103
126510017,Khepera CS,CS,Philadelphia,7826,Khepera CS,F,0,0,0,0,0,0,0,0,16,29,24,22,28,31,32,0,23,13,0,0,0,0,0,218
126510017,Khepera CS,CS,Philadelphia,7826,Khepera CS,M,0,0,0,0,0,0,0,0,28,23,28,31,25,22,18,0,20,12,0,0,0,0,0,207
126513110,Laboratory CS,CS,Philadelphia,7565,Laboratory CS,F,0,0,0,0,0,0,0,0,23,23,26,34,27,25,21,0,24,24,0,0,0,0,0,227
126513110,Laboratory CS,CS,Philadelphia,7565,Laboratory CS,M,0,0,0,0,0,0,0,0,20,25,15,27,14,23,17,0,14,13,0,0,0,0,0,168
