AUN,LEA Name,LEA Type,County,School Number,School Name,Student Gender Code,PKA,PKP,PKF,K4A,K4P,K4F,K5A,K5P,K5F,001,002,003,004,005,006,EUG,007,008,009,010,011,012,SUG,Student ID
126514368,ACT Academy Cyber CS,CS,Philadelphia,8217,ACT Academy Cyber CS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,10,5,0,42
126514368,ACT Academy Cyber CS,CS,Philadelphia,8217,ACT Academy Cyber CS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,12,3,0,47
168518013,ARISE Academy Charter High School,CS,Philadelphia,8122,ARISE Academy Charter High School,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,31,17,29,0,100
168518013,ARISE Academy Charter High School,CS,Philadelphia,8122,ARISE Academy Charter High School,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,16,22,0,58
181519176,ASPIRA Bilingual Cyber Charter School,CS,Philadelphia,8148,ASPIRA Bilingual Cyber Charter School,F,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,2,21,20,15,15,0,82
181519176,ASPIRA Bilingual Cyber Charter School,CS,Philadelphia,8148,ASPIRA Bilingual Cyber Charter School,M,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,1,2,17,18,12,10,0,66
126510015,Ad Prima CS,CS,Philadelphia,7825,Ad Prima CS,F,0,0,0,0,0,0,0,0,33,24,55,37,31,21,12,0,11,7,0,0,0,0,0,231
126510015,Ad Prima CS,CS,Philadelphia,7825,Ad Prima CS,M,0,0,0,0,0,0,0,0,35,24,35,28,9,16,16,0,7,6,0,0,0,0,0,176
126512990,Alliance for Progress CS,CS,Philadelphia,7543,Alliance for Progress CS,F,0,0,0,0,0,0,0,0,27,25,30,22,26,21,26,0,14,7,0,0,0,0,0,198
126512990,Alliance for Progress CS,CS,Philadelphia,7543,Alliance for Progress CS,M,0,0,0,0,0,0,0,0,26,20,26,22,26,32,20,0,11,14,0,0,0,0,0,197
104510394,Antonia Pantoja Community Charter School,CS,Philadelphia,8031,Antonia Pantoja Community Charter School,F,0,0,0,0,0,0,0,0,33,41,42,38,77,35,39,0,26,31,0,0,0,0,0,362
104510394,Antonia Pantoja Community Charter School,CS,Philadelphia,8031,Antonia Pantoja Community Charter School,M,0,0,0,0,0,0,0,0,32,43,47,51,53,32,51,0,32,27,0,0,0,0,0,368
126513070,Belmont Academy Charter School,CS,Philadelphia,7557,Belmont Academy Charter School,F,0,0,0,0,0,10,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
126513070,Belmont Academy Charter School,CS,Philadelphia,7557,Belmont Academy Charter School,M,0,0,0,0,0,10,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
126510010,Belmont Charter School,CS,Philadelphia,7750,Belmont Charter School,F,0,0,0,0,0,0,0,0,0,36,23,44,29,36,27,0,18,19,0,0,0,0,0,232
126510010,Belmont Charter School,CS,Philadelphia,7750,Belmont Charter School,M,0,0,0,0,0,0,0,0,0,40,47,31,35,33,34,0,15,20,0,0,0,0,0,255
126519476,Birney Preparatory Academy,CS,Philadelphia,8206,Birney Preparatory Academy,F,0,0,0,0,0,0,0,0,52,43,39,30,37,35,35,0,35,27,0,0,0,0,0,333
126519476,Birney Preparatory Academy,CS,Philadelphia,8206,Birney Preparatory Academy,M,0,0,0,0,0,0,0,0,48,48,46,38,31,33,22,0,31,28,0,0,0,0,0,325
185515523,Boys Latin of Philadelphia CS,CS,Philadelphia,7981,Boys Latin of Philadelphia CS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,129,110,85,0,482
126513190,Charter High School for Architecture and,CS,Philadelphia,7578,Charter High School for Architecture and,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,90,76,66,0,301
126513190,Charter High School for Architecture and,CS,Philadelphia,7578,Charter High School for Architecture and,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,81,73,69,0,311
126513160,Christopher Columbus CS,CS,Philadelphia,7575,Christopher Columbus CS,F,0,0,0,0,0,0,0,0,57,42,46,41,43,46,46,0,48,46,0,0,0,0,0,415
126513160,Christopher Columbus CS,CS,Philadelphia,7575,Christopher Columbus CS,M,0,0,0,0,0,0,0,0,31,45,44,44,45,37,42,0,39,37,0,0,0,0,0,364
126512840,Community Academy of Philadelphia CS,CS,Philadelphia,7510,Community Academy of Philadelphia CS,F,0,0,0,0,0,0,0,0,35,25,31,33,27,36,38,0,50,57,82,90,87,86,0,677
126512840,Community Academy of Philadelphia CS,CS,Philadelphia,7510,Community Academy of Philadelphia CS,M,0,0,0,0,0,0,0,0,26,38,33,33,41,29,28,0,48,47,73,75,58,60,0,589
126513470,Delaware Valley CHS,CS,Philadelphia,7671,Delaware Valley CHS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,104,65,90,0,343
126513470,Delaware Valley CHS,CS,Philadelphia,7671,Delaware Valley CHS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,84,83,66,0,323
126510011,Discovery Charter School,CS,Philadelphia,7775,Discovery Charter School,F,0,0,0,0,0,0,0,0,41,41,41,39,43,41,40,0,45,46,0,0,0,0,0,377
126510011,Discovery Charter School,CS,Philadelphia,7775,Discovery Charter School,M,0,0,0,0,0,0,0,0,41,40,41,41,38,38,40,0,34,31,0,0,0,0,0,344
177518712,Eastern University Academy Charter Schoo,CS,Philadelphia,8127,Eastern University Academy Charter Schoo,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,31,48,30,33,30,0,201
177518712,Eastern University Academy Charter Schoo,CS,Philadelphia,8127,Eastern University Academy Charter Schoo,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,29,30,28,22,26,0,152
