AUN,LEA Name,LEA Type,County,School Number,School Name,Student Gender Code,PKA,PKP,PKF,K4A,K4P,K4F,K5A,K5P,K5F,001,002,003,004,005,006,007,008,009,010,011,012,Total
126514368,ACT Academy Cyber CS,CS,Philadelphia,8217,ACT Academy Cyber CS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,31,18,21,83
126514368,ACT Academy Cyber CS,CS,Philadelphia,8217,ACT Academy Cyber CS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,31,13,74
168518013,ARISE Academy Charter High School,CS,Philadelphia,8122,ARISE Academy Charter High School,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,10,18,53
168518013,ARISE Academy Charter High School,CS,Philadelphia,8122,ARISE Academy Charter High School,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,9,14,47
181519176,ASPIRA Bilingual Cyber Charter School,CS,Philadelphia,8148,ASPIRA Bilingual Cyber Charter School,F,0,0,0,0,0,0,0,0,1,0,0,1,2,1,11,5,11,15,12,11,11,81
181519176,ASPIRA Bilingual Cyber Charter School,CS,Philadelphia,8148,ASPIRA Bilingual Cyber Charter School,M,0,0,0,0,0,0,0,0,2,1,0,1,0,1,2,6,3,14,13,15,11,69
126510015,Ad Prima CS,CS,Philadelphia,7825,Ad Prima CS,F,0,0,0,0,0,0,0,0,46,51,36,53,39,33,21,17,16,0,0,0,0,312
126510015,Ad Prima CS,CS,Philadelphia,7825,Ad Prima CS,M,0,0,0,0,0,0,0,0,34,44,34,35,28,11,13,20,8,0,0,0,0,227
126512990,Alliance for Progress CS,CS,Philadelphia,7543,Alliance for Progress CS,F,0,0,0,0,0,0,0,0,22,32,26,28,28,25,21,26,15,0,0,0,0,223
126512990,Alliance for Progress CS,CS,Philadelphia,9999,Alliance for Progress CS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
126512990,Alliance for Progress CS,CS,Philadelphia,7543,Alliance for Progress CS,M,0,0,0,0,0,0,0,0,33,20,26,24,23,27,30,17,9,0,0,0,0,209
104510394,Antonia Pantoja Community Charter School,CS,Philadelphia,8031,Antonia Pantoja Community Charter School,F,0,0,0,0,0,0,0,0,36,34,41,42,34,76,33,38,24,0,0,0,0,358
104510394,Antonia Pantoja Community Charter School,CS,Philadelphia,8031,Antonia Pantoja Community Charter School,M,0,0,0,0,0,0,0,0,31,31,44,45,51,52,31,48,30,0,0,0,0,363
126513070,Belmont Academy Charter School,CS,Philadelphia,7557,Belmont Academy Charter School,F,0,0,8,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,56
126513070,Belmont Academy Charter School,CS,Philadelphia,7557,Belmont Academy Charter School,M,0,0,8,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,61
126510010,Belmont Charter School,CS,Philadelphia,7750,Belmont Charter School,F,0,0,0,0,0,0,0,0,0,46,38,27,44,26,33,24,17,0,0,0,0,255
126510010,Belmont Charter School,CS,Philadelphia,7750,Belmont Charter School,M,0,0,0,0,0,0,0,0,0,34,47,44,34,37,32,36,14,0,0,0,0,278
126519476,Birney Preparatory Academy,CS,Philadelphia,8206,Birney Preparatory Academy,F,0,0,0,0,0,0,0,0,46,46,38,39,34,37,35,42,38,0,0,0,0,355
126519476,Birney Preparatory Academy,CS,Philadelphia,8206,Birney Preparatory Academy,M,0,0,0,0,0,0,0,0,52,50,51,48,39,32,39,32,30,0,0,0,0,373
185515523,Boys Latin of Philadelphia CS,CS,Philadelphia,7981,Boys Latin of Philadelphia CS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,151,134,117,109,664
126513190,Charter High School for Architecture and,CS,Philadelphia,7578,Charter High School for Architecture and,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,73,89,62,302
126513190,Charter High School for Architecture and,CS,Philadelphia,7578,Charter High School for Architecture and,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,85,64,66,294
126513160,Christopher Columbus CS,CS,Philadelphia,7575,Christopher Columbus CS,F,0,0,0,0,0,0,0,0,46,58,41,46,42,43,45,45,47,0,0,0,0,413
126513160,Christopher Columbus CS,CS,Philadelphia,7575,Christopher Columbus CS,M,0,0,0,0,0,0,0,0,48,32,47,45,45,48,37,43,36,0,0,0,0,381
126512840,Community Academy of Philadelphia CS,CS,Philadelphia,7510,Community Academy of Philadelphia CS,F,0,0,0,0,0,0,0,0,28,35,24,34,32,28,34,50,46,73,84,84,90,642
126512840,Community Academy of Philadelphia CS,CS,Philadelphia,7510,Community Academy of Philadelphia CS,M,0,0,0,0,0,0,0,0,32,27,39,30,33,36,29,45,53,77,63,60,53,577
126513470,Delaware Valley CHS,CS,Philadelphia,7671,Delaware Valley CHS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,87,97,74,339
126513470,Delaware Valley CHS,CS,Philadelphia,7671,Delaware Valley CHS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,98,78,80,341
126510011,Discovery Charter School,CS,Philadelphia,7775,Discovery Charter School,F,0,0,0,0,0,0,0,0,56,39,43,41,44,43,42,41,45,0,0,0,0,394
126510011,Discovery Charter School,CS,Philadelphia,7775,Discovery Charter School,M,0,0,0,0,0,0,0,0,56,42,38,41,42,35,36,42,34,0,0,0,0,366
177518712,Eastern University Academy Charter Schoo,CS,Philadelphia,8127,Eastern University Academy Charter Schoo,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,34,42,48,33,30,216
177518712,Eastern University Academy Charter Schoo,CS,Philadelphia,8127,Eastern University Academy Charter Schoo,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,21,23,30,21,20,147
126519119,Education Plus Academy Cyber CS,CS,Philadelphia,8223,Education Plus Academy Cyber CS,F,0,0,0,0,0,0,0,0,26,29,31,18,28,24,17,21,10,0,0,0,0,204
126519119,Education Plus Academy Cyber CS,CS,Philadelphia,8223,Education Plus Academy Cyber CS,M,0,0,0,0,0,0,0,0,28,32,33,35,30,41,36,30,18,0,0,0,0,283
126513440,Esperanza Academy Charter High School,CS,Philadelphia,7665,Esperanza Academy Charter High School,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,26,39,113,92,90,107,494
126513440,Esperanza Academy Charter High School,CS,Philadelphia,7665,Esperanza Academy Charter High School,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,24,34,101,84,85,85,434
126511563,Esperanza Cyber CS,CS,Philadelphia,8216,Esperanza Cyber CS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,9,26,15,9,1,76
126511563,Esperanza Cyber CS,CS,Philadelphia,8216,Esperanza Cyber CS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,29,22,10,3,76
126513100,Eugenio Maria De Hostos CS,CS,Philadelphia,7564,Eugenio Maria DE Hostos CS,F,0,0,0,0,0,0,0,0,26,21,49,41,23,24,17,22,22,0,0,0,0,245
