AUN,LEA Name,LEA Type,County,Race,Year,PKA,PKP,PKF,K4A,K4P,K4F,K5A,K5P,K5F,001,002,003,004,005,006,007,008,009,010,011,012,Total
126514368,ACT Academy Cyber CS,CS,Philadelphia,Black or African American,2013_26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,38,42,33,138
126514368,ACT Academy Cyber CS,CS,Philadelphia,Multi-Racial,2013_27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,*
126514368,ACT Academy Cyber CS,CS,Philadelphia,Native Hawaiian or other Pacific Islander(not hispanic),2013_28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,*
126514368,ACT Academy Cyber CS,CS,Philadelphia,White,2013_29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,0,12
168518013,ARISE Academy Charter High School,CS,Philadelphia,Asian,2013_31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
168518013,ARISE Academy Charter High School,CS,Philadelphia,Black or African American,2013_32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,26,19,30,92
168518013,ARISE Academy Charter High School,CS,Philadelphia,Hispanic,2013_33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,*,*
168518013,ARISE Academy Charter High School,CS,Philadelphia,White,2013_34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0,0,*
181519176,ASPIRA Bilingual Cyber Charter School,CS,Philadelphia,Black or African American,2013_35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,*,*,*,23
181519176,ASPIRA Bilingual Cyber Charter School,CS,Philadelphia,Hispanic,2013_36,0,0,0,0,0,0,0,0,*,*,0,*,*,*,11,*,13,22,24,19,19,125
181519176,ASPIRA Bilingual Cyber Charter School,CS,Philadelphia,White,2013_37,0,0,0,0,0,0,0,0,*,0,0,*,0,0,0,0,0,0,0,0,0,*
126510015,Ad Prima CS,CS,Philadelphia,Black or African American,2013_62,0,0,0,0,0,0,0,0,60,69,55,71,51,37,27,34,23,0,0,0,0,427
126510015,Ad Prima CS,CS,Philadelphia,Hispanic,2013_63,0,0,0,0,0,0,0,0,*,13,*,*,10,*,*,*,0,0,0,0,0,48
126510015,Ad Prima CS,CS,Philadelphia,Multi-Racial,2013_64,0,0,0,0,0,0,0,0,10,10,*,*,*,*,*,*,*,0,0,0,0,52
126510015,Ad Prima CS,CS,Philadelphia,White,2013_65,0,0,0,0,0,0,0,0,*,*,*,*,*,*,0,0,0,0,0,0,0,12
126512990,Alliance for Progress CS,CS,Philadelphia,Asian,2013_114,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0,0,0,0,0,0,*
126512990,Alliance for Progress CS,CS,Philadelphia,Black or African American,2013_115,0,0,0,0,0,0,0,0,55,49,50,52,48,51,49,41,23,0,0,0,0,418
126512990,Alliance for Progress CS,CS,Philadelphia,Hispanic,2013_116,0,0,0,0,0,0,0,0,0,*,*,0,0,*,*,*,*,0,0,0,0,10
126512990,Alliance for Progress CS,CS,Philadelphia,Multi-Racial,2013_117,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0,*
126512990,Alliance for Progress CS,CS,Philadelphia,White,2013_118,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0,*
104510394,Antonia Pantoja Community Charter School,CS,Philadelphia,Black or African American,2013_143,0,0,0,0,0,0,0,0,*,*,*,*,*,*,*,*,0,0,0,0,0,18
104510394,Antonia Pantoja Community Charter School,CS,Philadelphia,Hispanic,2013_144,0,0,0,0,0,0,0,0,65,63,81,85,84,123,61,85,53,0,0,0,0,700
104510394,Antonia Pantoja Community Charter School,CS,Philadelphia,White,2013_145,0,0,0,0,0,0,0,0,*,*,0,0,0,0,0,0,*,0,0,0,0,*
126513070,Belmont Academy Charter School,CS,Philadelphia,Black or African American,,0,0,14,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,110
126513070,Belmont Academy Charter School,CS,Philadelphia,Hispanic,,0,0,*,0,0,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0,0,*
126513070,Belmont Academy Charter School,CS,Philadelphia,Native Hawaiian or other Pacific Islander(not hispanic),,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0,0,*
126510010,Belmont Charter School,CS,Philadelphia,Asian,,0,0,0,0,0,0,0,0,0,0,0,*,*,0,0,0,0,0,0,0,0,*
126510010,Belmont Charter School,CS,Philadelphia,Black or African American,,0,0,0,0,0,0,0,0,0,77,85,68,74,63,64,60,31,0,0,0,0,522
126510010,Belmont Charter School,CS,Philadelphia,Hispanic,,0,0,0,0,0,0,0,0,0,*,0,*,*,0,*,0,0,0,0,0,0,*
126510010,Belmont Charter School,CS,Philadelphia,White,,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0,0,*
126519476,Birney Preparatory Academy,CS,Philadelphia,Asian,,0,0,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,0,0,16
126519476,Birney Preparatory Academy,CS,Philadelphia,Black or African American,,0,0,0,0,0,0,0,0,95,90,85,78,69,62,69,66,63,0,0,0,0,677
126519476,Birney Preparatory Academy,CS,Philadelphia,Hispanic,,0,0,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,0,0,31
126519476,Birney Preparatory Academy,CS,Philadelphia,Multi-Racial,,0,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0,0,0,*
126519476,Birney Preparatory Academy,CS,Philadelphia,White,,0,0,0,0,0,0,0,0,0,*,0,0,0,*,0,*,0,0,0,0,0,*
185515523,Boys Latin of Philadelphia CS,CS,Philadelphia,Asian,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0,*
185515523,Boys Latin of Philadelphia CS,CS,Philadelphia,Black or African American,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,151,129,113,107,651
185515523,Boys Latin of Philadelphia CS,CS,Philadelphia,Hispanic,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,0,*,*,*
185515523,Boys Latin of Philadelphia CS,CS,Philadelphia,Multi-Racial,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0,*
185515523,Boys Latin of Philadelphia CS,CS,Philadelphia,White,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,*,*
126513190,Charter High School for Architecture and,CS,Philadelphia,American Indian / Alaskan Native,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*
126513190,Charter High School for Architecture and,CS,Philadelphia,Asian,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,10,*,*,18
126513190,Charter High School for Architecture and,CS,Philadelphia,Black or African American,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,126,134,101,500
126513190,Charter High School for Architecture and,CS,Philadelphia,Hispanic,,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,*,13,45
126513190,Charter High School for Architecture and,CS,Philadelphia,Multi-Racial,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,*
126513190,Charter High School for Architecture and,CS,Philadelphia,Native Hawaiian or other Pacific Islander(not hispanic),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
126513190,Charter High School for Architecture and,CS,Philadelphia,White,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,20
126513160,Christopher Columbus CS,CS,Philadelphia,Asian,,0,0,0,0,0,0,0,0,11,10,*,12,11,13,*,11,*,0,0,0,0,87
126513160,Christopher Columbus CS,CS,Philadelphia,Black or African American,,0,0,0,0,0,0,0,0,18,13,13,20,16,27,22,28,27,0,0,0,0,184
126513160,Christopher Columbus CS,CS,Philadelphia,Hispanic,,0,0,0,0,0,0,0,0,*,*,*,11,*,*,*,*,*,0,0,0,0,61
126513160,Christopher Columbus CS,CS,Philadelphia,Multi-Racial,,0,0,0,0,0,0,0,0,*,*,*,*,*,*,0,*,0,0,0,0,0,32
126513160,Christopher Columbus CS,CS,Philadelphia,White,,0,0,0,0,0,0,0,0,49,56,57,44,50,42,46,40,46,0,0,0,0,430
126512840,Community Academy of Philadelphia CS,CS,Philadelphia,Asian,,0,0,0,0,0,0,0,0,*,0,*,*,0,*,*,*,*,*,*,*,*,21
126512840,Community Academy of Philadelphia CS,CS,Philadelphia,Black or African American,,0,0,0,0,0,0,0,0,*,*,12,13,12,11,*,16,13,20,19,21,20,175
126512840,Community Academy of Philadelphia CS,CS,Philadelphia,Hispanic,,0,0,0,0,0,0,0,0,52,53,46,47,53,50,56,76,83,122,121,120,118,997
126512840,Community Academy of Philadelphia CS,CS,Philadelphia,Multi-Racial,,0,0,0,0,0,0,0,0,0,0,*,*,0,*,0,*,0,*,0,0,0,*
126512840,Community Academy of Philadelphia CS,CS,Philadelphia,Native Hawaiian or other Pacific Islander(not hispanic),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0,0,*
126512840,Community Academy of Philadelphia CS,CS,Philadelphia,White,,0,0,0,0,0,0,0,0,*,0,*,0,0,0,*,0,*,*,*,*,*,16
126513470,Delaware Valley CHS,CS,Philadelphia,Black or African American,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,185,172,152,675
126513470,Delaware Valley CHS,CS,Philadelphia,Hispanic,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*
126510011,Discovery Charter School,CS,Philadelphia,Black or African American,,0,0,0,0,0,0,0,0,111,81,81,82,86,78,78,83,79,0,0,0,0,759
126510011,Discovery Charter School,CS,Philadelphia,Hispanic,,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0,0,*
177518712,Eastern University Academy Charter Schoo,CS,Philadelphia,Asian,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,*,*,*
177518712,Eastern University Academy Charter Schoo,CS,Philadelphia,Black or African American,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,54,64,78,50,47,353
177518712,Eastern University Academy Charter Schoo,CS,Philadelphia,Hispanic,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0,0,*,*,*
126519119,Education Plus Academy Cyber CS,CS,Philadelphia,American Indian / Alaskan Native,,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,*,0,0,0,0,*
126519119,Education Plus Academy Cyber CS,CS,Philadelphia,Asian,,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0,0,0,0,*
126519119,Education Plus Academy Cyber CS,CS,Philadelphia,Black or African American,,0,0,0,0,0,0,0,0,23,36,32,29,32,39,30,32,12,0,0,0,0,265
126519119,Education Plus Academy Cyber CS,CS,Philadelphia,Hispanic,,0,0,0,0,0,0,0,0,14,*,12,12,*,13,*,*,*,0,0,0,0,80
126519119,Education Plus Academy Cyber CS,CS,Philadelphia,Multi-Racial,,0,0,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,0,0,31
126519119,Education Plus Academy Cyber CS,CS,Philadelphia,White,,0,0,0,0,0,0,0,0,10,12,17,*,15,11,14,11,*,0,0,0,0,107
126513440,Esperanza Academy Charter High School,CS,Philadelphia,Asian,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,*
126513440,Esperanza Academy Charter High School,CS,Philadelphia,Black or African American,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,*,*,*,*,13,33
126513440,Esperanza Academy Charter High School,CS,Philadelphia,Hispanic,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,50,71,208,168,171,178,893
126513440,Esperanza Academy Charter High School,CS,Philadelphia,White,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*
126511563,Esperanza Cyber CS,CS,Philadelphia,Black or African American,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0,*,*,*
126511563,Esperanza Cyber CS,CS,Philadelphia,Hispanic,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,17,10,54,36,18,*,144
126511563,Esperanza Cyber CS,CS,Philadelphia,White,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,*
